,Job_Title,Company,Contract Type,Location,date,Job Type,description
10,Senior Data Analyst,Network Finance,Permanent,Johannesburg Central,2 days ago,Full Time,"Job Description:
A trailblazing, Big consulting company is seeking a Senior Data Analyst. Good reporting and communication skills are essential for this role. As this is a senior position, this role will require some oversight and technical guidance to junior analysts.

The successful candidate will be someone who can hold their own in a high-performance environment.

Requirements:
Experience within an Audit environment – candidates without experience in this environment will not be considered
Minimum 3 years’ experience in a Data Analyst role
SQL is important
IDEA, ACL, Power Bi and Advanced Excel
 
 
Apply now!
 

012 361 3475"
11,Data Analyst Visualization,MDI Consulting,Permanent,City of Johannesburg Metropolitan Municipality,1 week ago,Full Time,"Execute on the data visualisation and reporting  strategy, policy and processes
 "
12,DATA ANALYST - become DATA ENGINEER and gain critical AWS expertise with international FINTECH company - CAPE TOWN - R780k to R880k.,Acuity Consultants,Permanent,Cape Town,2 weeks ago,Full Time,"Execute on the data visualisation and reporting  strategy, policy and processes
 "
13,IT SYSTEMS ANALYST - Data modelling/Data Visualisation Tools,RMS Staffing Solutions,Permanent,Sandton,5 days ago,Full Time,"Key Deliverables & Outputs:
  Conduct an analysis to understand the system needs of the organisation
  Test, maintain, and monitor computer programs and systems, including coordinating the installation of computer programs and systems
  Troubleshoot program and system malfunctions to restore normal functioning
  Expand or modify systems to serve new purposes or improve workflow
  Train staff and users to work with computer systems and programs
  Coordinate and link the computer systems within the company group to increase compatibility so that information can be shared
  Assess the usefulness of pre-developed application packages and adapt them to a user environment
  Provide staff and users with assistance solving computer-related problems, such as malfunctions and program problems
  Use object-oriented programming languages, as well as client and server applications development processes and multimedia and Internet technology
  Determine computer software or hardware needed to set up or alter system
  Prepare cost-benefit and return-on-investment analyses to aid in decisions on system implementation
  Recommend new technologies and software packages
Core responsibilities  - Systems analysis
  Conduct business process analysis utilising an understanding of technical problems and solutions in relation to the current and future business environment, in support of strategic initiatives.
  Assessment on current software packages vs business requirements.
  Consulting with Managers to determine what role the systems play in the business
  Conduct risk management in each business unit in relation to the company’s digital transformation journey and issue propose mitigating actions to MANCO and EXCO
  Understand the company’s group business needs and translate said needs into actionable requirements
  Structuring and prioritising business requirements and communicating plans with stakeholders for review and approval
  Facilitate the negotiation of requirements amongst multiple stakeholders
  Responsible for defining the roadmap and appropriate documentation required to support the solution used in the IT Strategy
Systems Management and Support
  Maintain and upgrade existing systems as required
  Design new application frameworks and systems. Responsible for developing new solution strategies with the technical and implementation teams
  Troubleshooting technical issues
  Collaborate with Business Analyst, Project Manager and IT Manager to resolve issues and ensuring solutions are viable and consistent
  Create system guidelines and manuals for the organisation
  Facilitate process workflow modelling to collaborate on process improvements, automation capabilities and clearly defined end-to-end use cases including training sessions and workshops on system processes
  Define and document internal and external user interfaces and support systems
Train employees and users to work with computer systems and programs"
14,Senior Data Analyst (JHB),Datafin IT Recruitment,Permanent,Sandton,6 days ago,Full Time,"ENVIRONMENT:
EFFECTIVELY interpret and transform data which can inform critical decisions & improve business as a Senior Data Analyst with your strong numerical ability and expertise with business models and metrics & complex IT environments sought by a large Retail and Consumer Finance Concern in Joburg. Your role will include gathering information from various sources and interpreting patterns and trends in order to deliver to the end user accurately, timeously and in an understandable format. You must possess a Degree in a quantitative field i.e: Data, Finance, Economics etc., have 3-7 Years’ Data Analytics experience, a high level of Mathematical ability and experience in SQL and Python, proficient with Tableau and in-depth knowledge and experience of Retail SAP architecture, implementation and operations.
DUTIES:
Execute on the data visualisation and reporting strategy, policy and processes –
Conduct full lifecycle analysis to include requirements, activities and design.
Monitor performance and quality control plans to identify improvements.
Follow processes to ensure execution of relevant data application requirements for various business needs.
Appraise yourself on business definitions and apply this consistently within all reporting projects.
Manage own time, capacity and resourcing to ensure accurate, complete, timely and consistent delivery on management and business reporting.
Execute on administration tasks required on projects or initiatives.
Monitor and maintain data environments and projects.
Conduct quality control and auditing of reports to ensure accurate and appropriate use of data prior to handing over to end user.
Implement actions to rectify gaps identified in QA and auditing process.
Contribute to discussions that enable enhancement of data reporting.
Work directly with team members and business users to resolve data conflicts and inappropriate data usage.
Monitor reports to alert or identify when errors occur and communicate to business should there be a requirement.
Take action to rectify and find resolution to errors that have been identified during the monitoring process.
Prepare and present potential technical solutions and innovations and advising the business on the technical and business value of the proposition with appropriate trade-offs.
Develop and design reports in a timely manner and aligned to the stakeholder requirements –
Interpret data, analyse results using statistical techniques and provide ongoing reports.
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality.
Acquire data from primary or secondary data sources and maintain databases/data systems.
Identify, analyse, and interpret trends or patterns in complex data sets.
Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems.
Work with management to prioritize business and information needs.
Utilise skill to convert complex information into understandable formats to create relevant business reports.
Develop and distribute reporting as per agreed requirement for clients and organisation.
Provide relevant reporting for all stakeholder needs as per agreed timeframes i.e: weekly, monthly etc.
Ensure end to end data processes enable the accurate view of data to end business user.
Filter through extensive business data sources to ensure data is sourced from most accurate source and translated into reports that is understandable to the end user.
Ensure that the same data sources are used to result in consistent data outputs.
Document and gain sign off for business user requirement documents.
Implement of reporting requirement/project to ensure customer needs are met.
Monitor reporting deliverables to ensure alignment to business SLA.
Translate meta-data into explanatory report and visuals for easy understanding to end user.
Coordinate and ensure that all data reporting projects are designed, scoped and delivered to meet the needs of the business.
Design solutions for new, changed or upgrade requirements.
Collaborate with subject matter experts and data analytics team to select the relevant sources of data and information.
Exercise diligence when granting permissions to all dashboards, reports, graph etc. developed.
Transfer of knowledge and understanding of designed reports to the end user –
Communication to stakeholders to keep them abreast of current developments within the function and to manage expectations on projects.
Continuous communication and feedback to keep the business requester informed of the status.
Understand data sources to ensure governance, procedures and standards are upheld and complied with.
Utilise specialist knowledge to explain the data and transfer the understanding to business end user.
Update data dictionary on an ongoing basis to ensure its accurate and kept up to date with new report developments.
Establish and share data dictionary to business stakeholders.
Engage and collaborate with business and IT technical functions to determine avenues for improvement in data analytics.
Conduct training and upskilling on new reports and or reporting platforms to relevant stakeholders.
Be agile in creating networks within the organisation that allow for visibility and knowledge sharing.
Manage customer centricity within area of responsibility –
Utilise specialist knowledge to explain the data and transfer the understanding to business end user.
Conduct training and upskilling on new reports and or self-service analytics platforms to relevant stakeholders.
Communication to stakeholders to keep them abreast of current developments within the function and to manage expectations.
Apply the standards set out in all legislation, policy and procedure that effects the customer.
Deal effectively and timeously with customer complaints and ensure that complaints are resolved or escalated in line with agreed standards.
Deliver services and products to the customer within the parameters of the agreed SLA.
Recognise and celebrate customer centric behaviour within others.
Manage colleagues and customers’ expectations and communicate appropriately within the parameters of agreed SLAs.
Act in a customer centric manner that is in line with the service code and core ideology in order to meet and exceed the requirements of internal and external customers.
Team Human Resources Management –
Actively and consistently maintain high standards of professionalism in all aspects of personal presentation and delivery.
Apply knowledge of the organisational systems, structures, policies and procedures to achieve results.
Demonstrate initiative in follow through to ensure that personal quality and productivity standards are consistently and accurately maintained.
Provide appropriate resolution for tasks or deadlines not met.
Support and drive the business’ core values.
Maintain a positive attitude and respond openly to feedback.
Take ownership for driving own career development.
Show commitment to teamwork and a willingness to go the extra mile to achieve team objectives.
REQUIREMENTS:
Qualifications –
3-Year related Degree (In a quantitative field i.e: Data, Finance, Economics etc.).
Experience/Skills –
3-7 Years’ experience in Data Analytics.
A high level of Mathematical ability and experience in SQL and Python.
Experience using Tableau.
In-depth knowledge and experience of Retail SAP architecture, implementation and operations.
Understanding of business models and metrics.
Expert knowledge of complex IT environments (technical, security, business).
Knowledge of Retail industry data models.
Knowledge of compliance and IT governance.
Project Management.
Conflict Management.
Stakeholder Management.
Financial acumen.
Business acumen and Business Analytics.
Ability to analyse, model and interpret data.
Advantageous –
Relevant Post-graduate qualification.
ATTRIBUTES:
Applying expertise and knowledge.
Deciding and initiating Action.
Problem solving.
Attention to detail.
Working with people.
Presenting and communicating information.
Analytical.
Learning and Researching.
Planning and Organising.
Delivering results and meeting customer expectations.
While we would really like to respond to every application, should you not be contacted for this position within 10 working days please consider your application unsuccessful.
COMMENTS:
When applying for jobs, ensure that you have the minimum job requirements. OnlySA Citizens will be considered for this role. If you are not in the mentioned location of any of the jobs, please note your relocation plans in all applications for jobs and correspondence. Please e-mail a word copy of your CV to michelle@datafin.com and mention the reference numbers of the jobs. We have a list of jobs on http://www.datafin.com. Datafin IT Recruitment - Cape Town Jobs."
15,Technical Data Analyst,ManpowerGroup SA,Temporary,JHB - Northern Suburbs,6 days ago,Full Time,"Requirements:
1-3 years of working experience in similar role
Proven work experience in data analytics and data capturing
Technical experience using quality management (ISO)
Knowledge of/experience with Power BI, Excel and other MS Applications.
Education:
Degree in Engineering or Science
 
**only short-listed candidates will be contacted**"
16,Data Science Analyst (JHB/Remote),Datafin IT Recruitment,Permanent,Sandton,8 hours ago,Full Time,"ENVIRONMENT:
A fast-paced Analytics Consultancy seeks an ambitious Data Science Analyst to join its team and gain data-driven experience with particular focus on banks, insurance companies and Telecommunications. You will be learning how to develop data science models, construct ETL processes, communicate with clients (internal or external) and support models in a production environment. The ideal candidate must possess a BSc. Degree in Engineering/Actuarial Science/Stats or similar discipline with at least ±2 Years' experience in a Data Science environment / role and proficiency in Python, SQL and Git.
DUTIES:
Ability to execute instructions from senior staff in the experience items set out above.
Build components of models.
Be a self-starter with drive to excel.
Assist with research.
Complete any online training requested (AE will supply the funds, but it is expected that the person will complete the training in their own time).
REQUIREMENTS:
Qualifications -
Minimum: BSc in a quantitative field with strong academic performance (Engineering, Actuarial Science, Statistics, Mathematics, Computer Science, etc.).
Ideal: Honours or Masters in a quantitative field.
Bonus: Qualified Actuary (no remaining exams to complete).
Experience/Skills –
±2 Years' experience in a Data Science environment / role.
Practical experience with Machine Learning models advantageous.
Consulting experience would be advantageous.
Experience in Financial Services industry is a plus, but not required.
Minimum: Python, SQL, Git.
Ideal: HTML, Cloud (IBM, AWS, Azure, GCP), Containers (Docker, Kubernetes etc.).
Bonus: SAS, R, Scala, PySpark, Scala, Java, C, Python Dash, R Shiny, Streamlit.
ATTRIBUTES:
Excellent business, communication and presentation skills.
While we would really like to respond to every application, should you not be contacted for this position within 10 working days please consider your application unsuccessful.
COMMENTS:
When applying for jobs, ensure that you have the minimum job requirements. OnlySA Citizens will be considered for this role. If you are not in the mentioned location of any of the jobs, please note your relocation plans in all applications for jobs and correspondence. Please e-mail a word copy of your CV to michelle@datafin.com and mention the reference numbers of the jobs. We have a list of jobs on http://www.datafin.com. Datafin IT Recruitment - Cape Town Jobs."
17,Senior Business Intelligence / DATA ANALYST - Contact Ronel @ 0824355021,Innovative Recruitment,Permanent,Midrand,1 week ago,Full Time,"Support:
• Inform strategic and faster decision making through the availability of critical data sets, insights and modelling for D&IT and Imperial
• Facilitate implementation of the Intelligence capability and alignment to overall  strategy.
• Continuous improvement of the overall D&IT Data & Insights strategy and capability based on business and stakeholder feedback.
• the communication plans and change management process for disseminating the overall Data & Insights strategy across D&IT 
• through collaboration with relevant stakeholders within D&IT and Imperial, to design and implement Business Intelligence and Data Analytics services and solutions
• standardising, simplifying and speeding-up of functional processes and eliminate duplication and bureaucracy
• functional best practices and promote sharing of best practices/knowledge across the Data & Insights capability
• all Data & Insights programmes/projects have business cases indicating the business benefits and value realisation roadmaps
• track the Data & Insights portfolio of projects against the projected value to ensure value is being unlocked according to the roadmap
• mitigation plans are in place for projects/programmes that are not delivering according to the estimated timeline
• insights are always rigorously tested and approved before releasing to D&IT 
Ensure:
• Monitor and Structure Product Backlog, assist with prioritising internal/technical requirements.
• Reliable, On-Time, Efficient & Quality Delivery as per the chosen process & tooling.
• Accountable for the successful delivery of Business Intelligence and Data Analytics services and solutions across Imperial.
• Expectation Management against commitments made.
• Drive progress.
People & Culture:
• Provide leadership and mentoring to the team.
• Ensure Team wellbeing.
• Build and maintain a healthy working relationship within the team
• Shape and enforce team culture & norms.
• Drive continuous improvement initiatives.
• Drive continuous knowledge sharing initiatives.
Process and delivery:
Be the Product Owner for a portfolio of clients/projects:
• Build and maintain a healthy working relationship with clients
• Manage and uphold client expectations
• Communicate project updates, progress and timeline adherence/blockages
• Ensure customer satisfaction by meeting client requirements as far as possible
• Consolidate multiple stakeholder requirements into Product Backlog on DevOps (the “What”)
• Be accountable for managing the delivery on the Product Backlog
• Feed Sprint Backlog into the Scrum Team and agree on the “when” with PM/SM
• Manage the Backlog on DevOps and ensure daily item updates, comments, hours completed/remaining & status)
• Perform backlog grooming
• Help manage the release plan
• Lead Sprint planning 1: What
Be the owner of Client, Business and System process knowledge whilst having technical level system process and way of working knowledge • Requirements elicitation & documentation • Process analysis & design documentation • Solution proposals • Scope management (Scope Creep, VOs) • Define and agree on the acceptance criteria (User Story) • Actively facilitate the sharing of business process knowledge & understanding across all teams • Test Plan Definition, Test Case Review) • Inspect & accept the delivered product Increment each sprint
• Sign-off documentation
• Entrench BA Way Of Working
Technology and standards:
• Define, document and communicate Product Ownership ways of working
Adhere to:
• all corporate governance, processes, procedures and statuary, legal and other requirements"
18,Junior Data Analyst,Carlysle Talent Search - Centurion,Permanent,JHB - Eastern Suburbs,1 week ago,Full Time,"Job Description: 
Responsible to interpret data and turn it into information that can offer ways to improve a business, thus affecting business decisions
responding to data-related queries and keeping track of these
Required to gather information from various sources and interpret patterns and trends and deliver to stakeholders timeously, and in an understandable format
Execute the data visualization
Develop and design reports in a timely manner and aligned to the stakeholder requirements
Manage cleanliness of data across various departments.
This role will also includes assessing, analysing, and optimising end-to-end business processes to improve business efficiencies, and customer/employee experience and remove inefficient processes to meet new requirements
Build working relationships across teams and functional lines to enhance work delivery, collaboration, and innovation
Analyse business processes and workflows to identify improvement or automation opportunities and facilitate implementation
Assist with post-go-live data collection. The collected data forms the basis of future process improvement projects.
Test projects where developments have been completed by referencing the specification to ensure that the right results are achieved according to the stakeholders’ requirements
Documenting the UAT and communicating with the developers regarding the deviations
Assist in other daily business activities, such as reporting, deep dives and follow-ups
 
Education:  Minimum Requirements 
Minimum - Grade 12, Excel (Advanced level), SQL
 
Knowledge: 
Understanding of business models and metrics
Knowledge of data models and presenting data in an easy-to-understand way.

Basic Requirements: 
2-5 years’ experience in Data analytics.
Advanced Excel skills and basic experience in SQL. 
 
Apply now! 
  CV’s can be send to lehandre@carlysle.co.za"
19,Senior Data Engineer & Analyst,Isisekelo Recruitment,Permanent,Remote,1 week ago,Full Time,"There are jobs and there are places where you get to do your best work. Work that gives you itchy fingers. Work that gives other people goosebumps. Because you are ready to go to the moon. Because you are ready to start co-creating something that you will be remembered for. If you want your fingerprints on something big - you are welcome here. 
We are looking for a strong Data Engineer and Analyst. The successful candidate will design data systems to collect, transform and model data, converting this data into digestible information, information into insight and insight into business decisions. 
You will need to architect solutions to transform, structure, model and analyze large datasets. Building systems and processes to effectively store and retrieve large datasets will be part of your day to day, as will be the selection and implementation of effective data analysis tools, business intelligence platforms and reporting mechanisms. Understanding both how to manage and present data is important in this role.
Responsibilities:
Maintain a working knowledge of both well established and emerging data technologies.
Gather and understand data requirements
Develop conceptual and logical data models to store and represent information.
Design and implement databases, along with integrations and transformations.
Assess and implement data analysis, BI reporting and visualization tools. 
Interpret data and analyze results, leveraging statistical techniques.
Requirements:
Proven working experience as a Data Analyst, Engineer, Scientist or Architect
Technical expertise regarding data modeling and database design development.
Experience with data visualization tools.
Adept at queries, report writing and presenting findings.
Understanding of integration and data transformation (ETL)
Good understanding of established and emerging technologies in data streams, databases and data warehouses.
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy.
Bachelor's degree in Computer Science, Information Management, Mathematics or Statistics.
Financial or Fintech experience is an advantage"
20,Senior Data Engineer & Analyst,Isisekelo Recruitment,Permanent,Remote,20 hours ago,Full Time,"There are jobs and there are places where you get to do your best work. Work that gives you itchy fingers. Work that gives other people goosebumps. Because you are ready to go to the moon. Because you are ready to start co-creating something that you will be remembered for. If you want your fingerprints on something big - you are welcome here. 
We are looking for a strong Data Engineer and Analyst. The successful candidate will design data systems to collect, transform and model data, converting this data into digestible information, information into insight and insight into business decisions. 
You will need to architect solutions to transform, structure, model and analyze large datasets. Building systems and processes to effectively store and retrieve large datasets will be part of your day to day, as will be the selection and implementation of effective data analysis tools, business intelligence platforms and reporting mechanisms. Understanding both how to manage and present data is important in this role.
Responsibilities:
Maintain a working knowledge of both well established and emerging data technologies.
Gather and understand data requirements
Develop conceptual and logical data models to store and represent information.
Design and implement databases, along with integrations and transformations.
Assess and implement data analysis, BI reporting and visualization tools. 
Interpret data and analyze results, leveraging statistical techniques.
Requirements:
Proven working experience as a Data Analyst, Engineer, Scientist or Architect
Technical expertise regarding data modeling and database design development.
Experience with data visualization tools.
Adept at queries, report writing and presenting findings.
Understanding of integration and data transformation (ETL)
Good understanding of established and emerging technologies in data streams, databases and data warehouses.
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy.
Bachelor's degree in Computer Science, Information Management, Mathematics or Statistics.
Financial or Fintech experience is an advantage"
21,Data Scientist/Analyst - Immediately Available,DVT,Freelance,Johannesburg,1 week ago,Full Time,"DVT is one of the top software development and testing companies on the continent. Our software engineers are consulting on cutting edge applications at the top companies in South Africa, as well as consulting globally. You will have the opportunity to work alongside some of the most established developers in the country with the latest technologies. DVT is committed to continuously training our staff and we are very proud of our culture of learning, from internal speaking and training to sponsoring a variety of technical events from DevConf to GDG. 
We're currently sourcing for a Data Scientist/Analyst to joing our dynamic team. Interested? Check the spec below to see if you're a fit -  
Key Responsibilities:
Query relevant databases to obtain data and create fit for purpose datasets, using relevant tools - SQL, SAS, Hadoop
Detailed analytics reports on customer, dealership, vehicle analytics to support sales initiatives
Campaign leads generation and results analysis for targeted marketing campaigns
Propensity modelling to identify customers most likely to take up a specific products or proposition
Analytics to support strategic positioning, thought leadership and external partnership to enable market share growth ambitions
Produce business insights and recommendations based on data analysis & models
Use storytelling and data visualization techniques to maximize impact & deliver a user-friendly reports to business
Contribute to the consolidation of data solutions into viable end products (in the language of business) that can be leveraged on an ongoing basis e.g. dashboards, reports etc.
Present data analysis (trends, insights, forecasts) & findings to business & show tangible business impact to be derived from the data science process
Technical Skills
Query Language: Python, SAS, Machine Learning
Analytics/Data Science:Python, SAS, Machine Learning
Visualization (BI): Power BI
Business Skills: 
Stakeholder engagement on deliverable requirements and outputs
Analytics articles for publication on partner portals
Detailed presentations on analytics insights and recommendations
High-level notes enriched with industry metrics for Exco members partaking in media interviews
Sounds like the right gig for you? Please do apply! "
